epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.898,1.62381,4.00949,1.06243,0.00438,0.26792,0.0039,0.00118,0.00168,1.31966,3.9438,1.00013,6.668e-05,6.668e-05,6.668e-05
2,30.1216,1.62791,3.92572,1.06271,0.00468,0.27736,0.00498,0.00195,0.00231,1.29992,3.90371,0.98862,0.00014904,0.00014904,0.00014904
3,41.2147,1.65855,3.44958,1.04676,0.00455,0.28302,0.00516,0.0022,0.00235,1.34125,3.85373,0.99889,0.000230299,0.000230299,0.000230299
4,51.8834,1.65104,2.91867,1.06091,0.00485,0.28868,0.00491,0.00189,0.0022,1.39067,3.78982,1.00639,0.000310459,0.000310459,0.000310459
5,61.5902,1.72383,2.32519,1.08208,0.00536,0.29245,0.00574,0.00287,0.0029,1.37867,3.67613,1.00206,0.000389518,0.000389518,0.000389518
6,72.2441,1.67927,1.67572,1.0599,0.01061,0.4,0.03512,0.02042,0.02008,1.44444,3.53722,1.0235,0.000467477,0.000467477,0.000467477
7,83.3469,1.6684,1.38116,1.03726,0.01712,0.57642,0.07248,0.04721,0.04222,1.47785,3.4373,1.0359,0.000544336,0.000544336,0.000544336
8,94.5803,1.6014,1.25782,1.04882,0.02245,0.68208,0.11589,0.07105,0.06546,1.47542,3.21323,1.04961,0.000620094,0.000620094,0.000620094
9,106.192,1.65461,1.20722,1.07956,0.02381,0.71038,0.20573,0.12763,0.12009,1.48547,2.999,1.03212,0.000694752,0.000694752,0.000694752
10,117.199,1.5929,1.19645,1.05174,0.02436,0.73113,0.32924,0.19931,0.18479,1.45435,2.75406,1.04172,0.00076831,0.00076831,0.00076831
11,127.14,1.58409,1.17888,1.07069,0.02417,0.73491,0.39787,0.24376,0.22515,1.40133,2.53675,1.01637,0.000840768,0.000840768,0.000840768
12,136.833,1.59727,1.17823,1.05378,0.02402,0.73491,0.47295,0.26243,0.26272,1.47074,2.35791,1.03518,0.000912126,0.000912126,0.000912126
13,148.23,1.60325,1.14021,1.05545,0.99567,0.21605,0.55295,0.35029,0.3202,1.40842,2.1934,1.01673,0.000982383,0.000982383,0.000982383
14,160.485,1.61536,1.17841,1.09415,0.99439,0.16638,0.56027,0.32829,0.3077,1.45615,1.98104,1.02611,0.00105154,0.00105154,0.00105154
15,171.064,1.56974,1.12085,1.04303,0.98483,0.18087,0.59796,0.34962,0.34469,1.45322,1.924,1.03545,0.0011196,0.0011196,0.0011196
16,180.53,1.60907,1.1298,1.06961,0.98197,0.34923,0.55484,0.27755,0.30544,1.49118,1.73992,1.03178,0.00118655,0.00118655,0.00118655
17,188.643,1.64376,1.11275,1.07218,0.76103,0.41509,0.54764,0.35586,0.3333,1.4363,1.61114,1.02831,0.00125241,0.00125241,0.00125241
18,196.679,1.60411,1.08849,1.04914,0.94166,0.43096,0.56988,0.33302,0.31467,1.47926,1.4491,1.02775,0.00131717,0.00131717,0.00131717
19,205.53,1.60594,1.10131,1.07334,0.92328,0.47792,0.59597,0.3674,0.3334,1.45702,1.36221,1.024,0.00138082,0.00138082,0.00138082
20,214.142,1.59879,1.07727,1.05685,0.65523,0.46509,0.55301,0.32861,0.30818,1.44086,1.24203,1.02252,0.00144338,0.00144338,0.00144338
21,221.944,1.54862,1.04139,1.04563,0.67083,0.46698,0.5916,0.38608,0.33655,1.37788,1.1256,1.00579,0.00144696,0.00144696,0.00144696
22,228.697,1.57923,1.05942,1.06086,0.89286,0.51478,0.59966,0.38219,0.34851,1.41098,1.09996,1.01125,0.00143595,0.00143595,0.00143595
23,237.173,1.56549,1.01975,1.02736,0.75866,0.55472,0.60648,0.3464,0.33409,1.4566,1.06928,1.00762,0.00142495,0.00142495,0.00142495
24,246.313,1.49663,0.98747,1.02821,0.70455,0.58208,0.63676,0.33001,0.35039,1.40335,1.01151,1.00115,0.00141395,0.00141395,0.00141395
