epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.425,4.56781,7.22169,3.38915,0,0,0,0,0,4.07516,4.29375,2.79786,5.716e-05,5.716e-05,5.716e-05
2,36.1732,4.2407,6.4954,3.39542,0,0,0,0,0,4.11427,4.28368,2.85367,0.000127761,0.000127761,0.000127761
3,37.9084,4.31848,6.19299,3.34963,0,0,0,0,0,4.12905,4.28003,2.89088,0.000197419,0.000197419,0.000197419
4,39.7678,4.07841,5.53333,3.06783,0,0,0,0,0,4.17644,4.28342,2.95763,0.000266134,0.000266134,0.000266134
5,41.7718,3.83154,5.58155,2.5576,0,0,0,0,0,4.15937,4.28586,2.95458,0.000333906,0.000333906,0.000333906
6,43.5664,3.68515,4.96762,2.25144,0,0,0,0,0,4.21124,4.28679,3.01826,0.000400734,0.000400734,0.000400734
7,45.4574,3.43283,4.67415,2.22784,0,0,0,0,0,4.38386,4.30689,3.14095,0.00046662,0.00046662,0.00046662
8,47.3079,3.39646,4.42899,2.13199,0,0,0,0,0,4.5957,4.3358,3.25469,0.000531562,0.000531562,0.000531562
9,49.2606,3.26855,4.35418,1.98763,0,0,0,0,0,4.80954,4.37508,3.35083,0.000595561,0.000595561,0.000595561
10,51.0884,3.03976,4.01264,1.87815,0,0,0,0,0,5.08103,4.43225,3.54887,0.000658618,0.000658618,0.000658618
11,52.7962,3.02074,3.69515,1.84959,0,0,0,0,0,5.20441,4.46257,3.61737,0.00072073,0.00072073,0.00072073
12,54.6091,3.04842,3.78425,1.76377,0,0,0,0,0,5.33055,4.5079,3.72834,0.0007819,0.0007819,0.0007819
13,56.4099,2.73302,3.72284,1.64594,0,0,0,0,0,5.35098,4.53525,3.77003,0.000842127,0.000842127,0.000842127
14,58.1659,2.90731,3.44651,1.74787,0,0,0,0,0,5.41555,4.5936,3.84454,0.00090141,0.00090141,0.00090141
15,59.8964,2.75504,3.26082,1.66193,0,0,0,0,0,5.43603,4.63192,3.85773,0.000959751,0.000959751,0.000959751
16,61.6085,2.77924,3.47177,1.60538,0,0,0,0,0,5.51203,4.69301,3.94233,0.00101715,0.00101715,0.00101715
17,63.3007,2.69004,3.27098,1.56473,0,0,0,0,0,5.52188,4.72352,3.98678,0.0010736,0.0010736,0.0010736
18,65.0876,2.80721,3.00653,1.60065,0,0,0,0,0,5.4195,4.71036,3.82994,0.00112911,0.00112911,0.00112911
19,66.8064,2.68419,3.19249,1.51207,0,0,0,0,0,5.39645,4.71164,3.76188,0.00118368,0.00118368,0.00118368
20,68.6891,2.56705,2.75894,1.4797,0,0,0,0,0,5.26874,4.52378,3.64479,0.00123731,0.00123731,0.00123731
21,70.437,2.5241,2.7166,1.43959,0,0,0,0,0,4.69621,4.38073,3.26231,0.00124037,0.00124037,0.00124037
22,72.1662,2.44643,2.73422,1.42462,0,0,0,0,0,4.81379,4.4203,3.3906,0.00123094,0.00123094,0.00123094
23,73.9223,2.41487,2.39332,1.37657,0.00507,0.03008,0.01918,0.00309,0.00724,4.17361,4.15856,2.84995,0.00122151,0.00122151,0.00122151
24,75.6462,2.38398,2.2894,1.34931,0.00384,0.04511,0.02602,0.00958,0.01249,3.96278,3.99501,2.67025,0.00121208,0.00121208,0.00121208
25,77.3948,2.29326,2.28318,1.3352,0.00371,0.05514,0.02515,0.00114,0.00891,3.49326,3.94096,2.28017,0.00120265,0.00120265,0.00120265
26,79.1031,2.19054,2.04396,1.3016,0.79145,0.02999,0.0332,0.00036,0.00896,3.78193,3.76524,2.55198,0.00119322,0.00119322,0.00119322
27,80.8464,2.18703,2.02449,1.2853,0.83927,0.03008,0.03722,0.01309,0.01743,3.53188,3.62951,2.41649,0.00118378,0.00118378,0.00118378
28,82.5984,2.32446,2.03218,1.3347,0.84449,0.043,0.05285,0.03178,0.02914,2.8125,3.27192,1.90583,0.00117435,0.00117435,0.00117435
29,84.4072,2.17738,1.84877,1.29405,0.81761,0.06516,0.071,0.03631,0.03555,2.44243,2.83754,1.56996,0.00116492,0.00116492,0.00116492
30,86.276,2.10596,1.75266,1.2476,0.83761,0.06015,0.13564,0.01605,0.05215,2.58593,2.6841,1.54266,0.00115549,0.00115549,0.00115549
31,88.0426,2.00088,1.73649,1.19958,0.27954,0.16103,0.14058,0.0213,0.04708,2.82448,3.33668,1.7775,0.00114606,0.00114606,0.00114606
32,89.7154,2.0361,1.69674,1.24226,0.72646,0.18349,0.1978,0.04527,0.07866,2.08323,2.24584,1.32497,0.00113663,0.00113663,0.00113663
33,91.494,2.04738,1.64814,1.22766,0.83998,0.20865,0.28828,0.09681,0.11967,1.96329,1.70543,1.23474,0.0011272,0.0011272,0.0011272
34,93.2953,1.90296,1.48565,1.18937,0.68254,0.33145,0.33289,0.05889,0.13461,1.99019,1.59481,1.22839,0.00111776,0.00111776,0.00111776
35,95.0214,2.10252,1.78148,1.2338,0.68733,0.30639,0.36708,0.10657,0.17477,1.95148,1.45531,1.20975,0.00110833,0.00110833,0.00110833
36,96.8823,1.89594,1.51055,1.15267,0.71769,0.40727,0.40125,0.15739,0.18581,1.91199,1.43806,1.16429,0.0010989,0.0010989,0.0010989
37,98.6244,1.94105,1.53754,1.23385,0.66373,0.57644,0.45329,0.09961,0.1993,1.83353,1.37417,1.16104,0.00108947,0.00108947,0.00108947
38,100.45,1.82455,1.42848,1.14355,0.77902,0.54918,0.50717,0.27411,0.23956,1.85949,1.31524,1.12034,0.00108004,0.00108004,0.00108004
39,102.136,1.74079,1.28099,1.09653,0.7446,0.59235,0.53079,0.30903,0.27738,1.74817,1.28533,1.10655,0.00107061,0.00107061,0.00107061
40,103.902,1.86233,1.3326,1.15521,0.80752,0.58308,0.56085,0.12994,0.24036,1.73721,1.22457,1.10505,0.00106118,0.00106118,0.00106118
41,105.605,1.89797,1.47739,1.13607,0.92476,0.54263,0.5996,0.19462,0.26399,1.66541,1.22634,1.09566,0.00105174,0.00105174,0.00105174
42,107.469,1.74695,1.4084,1.13444,0.88199,0.5699,0.59943,0.17234,0.25329,1.68709,1.15869,1.09925,0.00104231,0.00104231,0.00104231
43,109.238,1.74284,1.25652,1.11247,0.89721,0.5822,0.61834,0.16988,0.29498,1.62791,1.13359,1.07711,0.00103288,0.00103288,0.00103288
44,111.04,1.71291,1.20146,1.0817,0.96932,0.4126,0.5716,0.17051,0.25965,1.73548,1.15288,1.10017,0.00102345,0.00102345,0.00102345
45,112.697,1.8353,1.26572,1.1069,0.87734,0.55332,0.58989,0.29064,0.30289,1.60094,1.12984,1.06498,0.00101402,0.00101402,0.00101402
46,114.503,1.8177,1.2077,1.11683,0.92008,0.57644,0.62829,0.32523,0.30733,1.57995,1.08093,1.05943,0.00100459,0.00100459,0.00100459
47,116.384,1.72106,1.23545,1.06806,0.97581,0.48155,0.61868,0.15136,0.28805,1.66101,1.12512,1.07535,0.000995156,0.000995156,0.000995156
48,118.067,1.729,1.28962,1.08712,0.83475,0.48559,0.54145,0.15742,0.26473,1.55175,1.1328,1.05603,0.000985724,0.000985724,0.000985724
49,119.756,1.71194,1.17392,1.08549,0.91491,0.57645,0.63394,0.21834,0.29579,1.51874,1.05991,1.04822,0.000976293,0.000976293,0.000976293
50,121.471,1.63241,1.27158,1.09524,0.92373,0.42826,0.61682,0.18817,0.28808,1.56125,1.04972,1.06419,0.000966861,0.000966861,0.000966861
51,123.226,1.66951,1.16659,1.06575,0.70969,0.56882,0.54589,0.15352,0.26333,1.59087,1.10156,1.06681,0.00095743,0.00095743,0.00095743
52,125.077,1.62406,1.14715,1.06796,0.89258,0.53455,0.6109,0.28915,0.31198,1.52598,1.02063,1.0438,0.000947999,0.000947999,0.000947999
53,126.824,1.69268,1.14539,1.04723,0.93579,0.5807,0.66923,0.41487,0.36577,1.51993,0.99195,1.04577,0.000938567,0.000938567,0.000938567
54,128.574,1.59911,1.10718,1.07681,0.9221,0.59757,0.64991,0.1907,0.33276,1.4758,1.00783,1.03177,0.000929136,0.000929136,0.000929136
55,130.178,1.55229,1.09766,1.02092,0.94249,0.54185,0.65443,0.19911,0.32587,1.52946,1.03304,1.03397,0.000919704,0.000919704,0.000919704
56,131.854,1.6951,1.1075,1.08448,0.97542,0.54009,0.66082,0.36308,0.37139,1.51192,0.95789,1.03791,0.000910273,0.000910273,0.000910273
57,133.563,1.60627,1.07173,1.0526,0.94654,0.61321,0.67371,0.20505,0.34129,1.47841,0.9603,1.03193,0.000900842,0.000900842,0.000900842
58,135.251,1.6004,1.065,1.05525,0.94818,0.59398,0.70199,0.21727,0.35652,1.52076,0.9622,1.04474,0.00089141,0.00089141,0.00089141
59,136.916,1.62166,1.05813,1.10354,0.895,0.56447,0.68117,0.28619,0.34947,1.54381,0.95501,1.04675,0.000881979,0.000881979,0.000881979
60,138.611,1.57985,1.02693,1.04277,0.96406,0.5898,0.6613,0.26572,0.33729,1.55653,0.97062,1.04339,0.000872547,0.000872547,0.000872547
61,140.31,1.52396,1.00378,1.02594,0.87806,0.60652,0.69663,0.27504,0.35675,1.5033,0.90633,1.03631,0.000863116,0.000863116,0.000863116
62,142.198,1.48847,0.98344,0.9929,0.86591,0.58238,0.74938,0.25521,0.38964,1.47083,0.93084,1.03354,0.000853685,0.000853685,0.000853685
63,144.011,1.58335,1.03617,1.04082,0.94213,0.53972,0.75253,0.44212,0.41059,1.48519,0.94882,1.04158,0.000844253,0.000844253,0.000844253
64,145.853,1.5956,1.0033,1.04159,0.95994,0.56584,0.74767,0.32748,0.4002,1.54141,0.95489,1.06008,0.000834822,0.000834822,0.000834822
65,147.493,1.58392,0.96329,1.06677,0.84378,0.59148,0.75329,0.19492,0.36186,1.52748,0.97181,1.05057,0.00082539,0.00082539,0.00082539
66,149.115,1.59315,0.98865,1.05071,0.9506,0.59211,0.76869,0.19199,0.39105,1.51918,0.98237,1.05345,0.000815959,0.000815959,0.000815959
67,150.745,1.53415,0.96229,1.01059,0.93328,0.59161,0.77485,0.20614,0.38624,1.47942,0.92513,1.04282,0.000806528,0.000806528,0.000806528
68,152.415,1.57219,0.9576,1.05073,0.92683,0.53053,0.76586,0.51058,0.40744,1.52216,0.94261,1.04876,0.000797096,0.000797096,0.000797096
69,154.065,1.62939,1.04442,1.07386,0.9117,0.57941,0.78735,0.51734,0.41934,1.48419,0.9289,1.03712,0.000787665,0.000787665,0.000787665
70,155.771,1.49176,0.98865,1.01262,0.75969,0.71373,0.76702,0.25462,0.36954,1.52762,0.93663,1.05449,0.000778233,0.000778233,0.000778233
71,157.433,1.55337,0.97345,1.04979,0.84498,0.69493,0.76586,0.37517,0.41062,1.48487,0.91051,1.04427,0.000768802,0.000768802,0.000768802
72,159.072,1.52275,0.97383,1.03174,0.85421,0.71685,0.76634,0.36438,0.40357,1.47908,0.88147,1.05024,0.000759371,0.000759371,0.000759371
73,160.698,1.42223,0.90772,1.02119,0.80227,0.75841,0.76109,0.3612,0.3928,1.49139,0.90395,1.04893,0.000749939,0.000749939,0.000749939
