epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6956,4.90266,6.90739,3.42147,0,0,0,0,0,4.91406,4.68906,2.90636,4.444e-05,4.444e-05,4.444e-05
2,29.2682,4.90775,7.01583,3.48998,0,0,0,0,0,4.99603,4.69372,2.98279,9.9495e-05,9.9495e-05,9.9495e-05
3,30.7144,4.85528,7.1636,3.51956,0,0,0,0,0,5.05921,4.70291,3.05608,0.000154,0.000154,0.000154
4,32.3225,4.27878,6.76752,3.1726,0,0,0,0,0,5.14613,4.74339,3.21705,0.000207955,0.000207955,0.000207955
5,33.9408,3.99721,5.66507,2.8298,0,0,0,0,0,5.21206,4.81268,3.35078,0.000261361,0.000261361,0.000261361
6,35.563,4.12067,5.60552,2.89739,0,0,0,0,0,5.28102,4.85642,3.40256,0.000314216,0.000314216,0.000314216
7,37.2084,3.70858,5.48579,2.37336,0,0,0,0,0,5.34923,4.87482,3.43654,0.000366521,0.000366521,0.000366521
8,38.8626,3.58673,4.98811,2.55027,0,0,0,0,0,5.47651,4.91664,3.55038,0.000418277,0.000418277,0.000418277
9,40.4841,3.4359,4.85036,2.36851,0,0,0,0,0,5.58041,4.97591,3.64016,0.000469482,0.000469482,0.000469482
10,42.1144,3.15522,4.48143,2.40668,0,0,0,0,0,5.68413,5.01313,3.76944,0.000520137,0.000520137,0.000520137
11,43.6753,2.97346,4.78231,2.36475,0,0,0,0,0,5.71557,5.03713,3.79746,0.000570243,0.000570243,0.000570243
12,45.2544,3.15474,4.04507,2.09203,0,0,0,0,0,5.81468,5.11031,3.93022,0.000619799,0.000619799,0.000619799
13,46.783,2.94082,4.15501,1.99453,0,0,0,0,0,5.80913,5.12215,3.9159,0.000668804,0.000668804,0.000668804
14,48.3458,2.9708,3.63885,2.12766,0,0,0,0,0,5.86887,5.01018,4.00488,0.00071726,0.00071726,0.00071726
15,49.8963,3.07089,3.49014,2.1539,0,0,0,0,0,5.88014,4.97355,4.01067,0.000765166,0.000765166,0.000765166
16,51.4229,2.29473,4.53205,1.65941,0,0,0,0,0,5.90146,4.87916,4.06277,0.000812522,0.000812522,0.000812522
17,52.9516,2.77438,3.39509,2.12297,0,0,0,0,0,5.89854,4.69461,4.06085,0.000859327,0.000859327,0.000859327
18,54.5191,2.78573,3.09034,1.89136,0,0,0,0,0,5.87885,4.58282,4.03617,0.000905583,0.000905583,0.000905583
19,56.0802,2.69146,2.81087,1.92455,0,0,0,0,0,5.88426,4.5763,4.01264,0.000951289,0.000951289,0.000951289
20,57.6393,2.61755,2.96029,1.75024,0,0,0,0,0,5.71123,4.54279,3.79202,0.000996445,0.000996445,0.000996445
21,59.1582,2.86922,3.5019,1.81594,0,0,0,0,0,5.70084,4.53286,3.78673,0.00100101,0.00100101,0.00100101
22,60.7068,2.4553,2.85794,2.02434,0,0,0,0,0,5.32332,4.45774,3.57495,0.000995512,0.000995512,0.000995512
23,62.2595,2.52083,2.69565,1.90711,0,0,0,0,0,5.06653,4.41515,3.49408,0.000990012,0.000990012,0.000990012
24,63.827,2.26208,2.55574,1.7635,0.00096,0.11723,0.03807,0.00051,0.01197,4.67812,4.11664,3.10715,0.000984513,0.000984513,0.000984513
25,65.3569,2.312,2.43964,1.78898,0.00204,0.17437,0.06841,0.00376,0.02493,4.69213,3.8168,3.22235,0.000979013,0.000979013,0.000979013
26,66.91,2.21732,2.22366,1.71511,0.22014,0.1458,0.11899,0.00041,0.0467,4.7153,3.34618,3.29836,0.000973514,0.000973514,0.000973514
27,68.4538,2.29226,2.17722,1.72894,0.29364,0.11429,0.14308,0.01072,0.05669,4.39045,3.21097,3.01107,0.000968014,0.000968014,0.000968014
28,70.0351,2.33254,2.36679,1.72968,0.50658,0.09887,0.10441,0.01038,0.0437,3.91174,3.35144,2.62081,0.000962515,0.000962515,0.000962515
29,71.5516,2.13665,2.27673,1.69253,0.50129,0.08866,0.10555,0.06299,0.04432,3.59104,3.30121,2.44757,0.000957015,0.000957015,0.000957015
30,73.0874,1.98734,1.91434,1.63883,0.29454,0.14286,0.2084,0.02875,0.05883,3.65714,3.10289,2.62594,0.000951516,0.000951516,0.000951516
31,74.6531,2.15945,2.01699,1.60115,0.52311,0.14286,0.15706,0.00322,0.03835,3.72121,3.46827,2.66815,0.000946016,0.000946016,0.000946016
32,76.2342,1.93224,2.06004,1.45863,0.5406,0.13609,0.13387,0.01043,0.04,3.74187,3.89588,2.76062,0.000940517,0.000940517,0.000940517
33,77.7437,1.9117,1.71328,1.45757,0.72906,0.14286,0.19758,0.01265,0.06684,3.03879,3.28023,2.18033,0.000935018,0.000935018,0.000935018
34,79.3031,2.12945,1.75511,1.55682,0.43336,0.26857,0.29286,0.08292,0.12468,2.51293,2.5215,1.84457,0.000929518,0.000929518,0.000929518
35,80.8246,1.91017,1.6601,1.49222,0.42275,0.29155,0.36138,0.11015,0.15726,2.18973,2.18691,1.70486,0.000924019,0.000924019,0.000924019
36,82.3945,1.93077,1.74927,1.5051,0.48256,0.27754,0.37349,0.14613,0.17639,2.18524,2.0716,1.6046,0.000918519,0.000918519,0.000918519
